EMP Data Retrieved ,,,,,,,
Programs selected = ,,,,,,,
,,,,,,,
,,,,,,,
Row #,STATION_ID,STATION NAME,RESULT_ID,DATE,VALUE,QAQC Flag,READING_TYPE
2497,30,(D24A)  Rio Vista,1299,7/27/2022 0:00,1.16,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2498,30,(D24A)  Rio Vista,1299,7/27/2022 0:15,1.33,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2499,30,(D24A)  Rio Vista,1299,7/27/2022 0:30,1.23,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2500,30,(D24A)  Rio Vista,1299,7/27/2022 0:45,1.27,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2501,30,(D24A)  Rio Vista,1299,7/27/2022 1:00,1.24,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2502,30,(D24A)  Rio Vista,1299,7/27/2022 1:15,1.16,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2503,30,(D24A)  Rio Vista,1299,7/27/2022 1:30,1.23,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2504,30,(D24A)  Rio Vista,1299,7/27/2022 1:45,1.12,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2505,30,(D24A)  Rio Vista,1299,7/27/2022 2:00,1.23,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2506,30,(D24A)  Rio Vista,1299,7/27/2022 2:15,1.24,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2507,30,(D24A)  Rio Vista,1299,7/27/2022 2:30,1.22,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2508,30,(D24A)  Rio Vista,1299,7/27/2022 2:45,1.22,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2509,30,(D24A)  Rio Vista,1299,7/27/2022 3:00,1.18,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2510,30,(D24A)  Rio Vista,1299,7/27/2022 3:15,1.17,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2511,30,(D24A)  Rio Vista,1299,7/27/2022 3:30,1.23,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2512,30,(D24A)  Rio Vista,1299,7/27/2022 3:45,1.24,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
2513,30,(D24A)  Rio Vista,1299,7/27/2022 4:00,1.15,U,[Water]  Fluorescence (µg/L) -(n/a) YSI Sonde { Data }  @ 15 min Inst 1 m deep
