StationCode,DateTime,Analyte,Result,Units,Method,Depth,Purpose,Analyte.Unit,Sampling.Date,Sampling.Time,Region,date,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity
SHR,8/5/2019 9:14,TOP,0.028,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DisNitrateNitrite,0.072,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DON,0.13,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,TKN,0.26,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DOC,1.4,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DOC,1.5,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DisCalcium,9.66,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DisSilica,15.7,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,TDS,63,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
SHR,8/5/2019 9:14,DOP,NA,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Sac River,8/5/2019,21.2,1.4,104,112,7.76,8.67,8
I80,8/6/2019 9:26,DOP,0.631,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DOP,0.631,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,TOP,0.791,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DON,0.86,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisNitrateNitrite,1.23,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisNitrateNitrite,1.24,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,TKN,1.37,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DOC,6.4,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,TOC,6.8,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisSilica,17.7,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,VSS,18,mg/L,EPA 160.4 [1]*,1,Normal Sample,VSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisCalcium,32.1,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisChloride,51.3,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,TSS,125,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,TDS,384,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
I80,8/6/2019 9:26,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,24.4,0.13,687,695,8.12,6.59,79.6
LIS,8/6/2019 11:28,DisNitrateNitrite,0.166,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DOP,0.24,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,TOP,0.287,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DON,0.51,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,TKN,0.833,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,TOC,5.9,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DOC,5.9,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,VSS,6,mg/L,EPA 160.4 [1]*,1,Normal Sample,VSS (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DisSilica,11.7,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DisCalcium,24.6,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DisChloride,27.8,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DisChloride,27.9,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,TSS,42,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,TDS,291,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
LIS,8/6/2019 11:28,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Lower Yolo Bypass,8/6/2019,25.1,0.21,527,526,7.98,5.31,49.9
RCS,8/6/2019 11:57,DOP,0.092,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisNitrateNitrite,0.104,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TOP,0.176,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DON,0.52,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TKN,0.75,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,VSS,4,mg/L,EPA 160.4 [1]*,1,Normal Sample,VSS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DOC,6.1,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DOC,6.3,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TOC,6.5,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TOC,6.6,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisChloride,14.6,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisSilica,23,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisSilica,23.6,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
