"","X","Station.Code","Date","Time","Classification","Organism","Count","Subsample","VolMeso","SubMeso","VolMicro","SubMicro","StartMeter","EndMeter","FlowMeterSpeed","CPUE"
"1",1,"BL5-DUP","2019-09-18","11:23:00","Microzooplankton_Nauplii","Rotifers",321,1,68,0.6,68,0.7,797495,801224,"Low",740.274239414094
"2",2,"BL5-DUP","2019-09-18","11:23:00","Microzooplankton_Nauplii","Copepod nauplii",1,1,68,0.6,68,0.7,797495,801224,"Low",2.30615027854858
"3",3,"BL5-DUP","2019-09-18","11:23:00","Microzooplankton_Nauplii","Ostracods",9,1,68,0.6,68,0.7,797495,801224,"Low",20.7553525069372
"7",7,"BL5-DUP","2019-09-18","11:23:00","Cyclopoids","Cyclopoid copepodid",16,1,68,0.6,68,0.7,797495,801224,"Low",43.0481385329068
"15",15,"BL5-DUP","2019-09-18","11:23:00","Cyclopoids","Macrocyclops albidus",1,1,68,0.6,68,0.7,797495,801224,"Low",2.69050865830668
"17",17,"BL5-DUP","2019-09-18","11:23:00","Cyclopoids","Microcyclops rubellus",3,1,68,0.6,68,0.7,797495,801224,"Low",8.07152597492003
"28",28,"BL5-DUP","2019-09-18","11:23:00","Calanoids","Calanoid copepodid",123,1,68,0.6,68,0.7,797495,801224,"Low",330.932564971721
"35",35,"BL5-DUP","2019-09-18","11:23:00","Calanoids","Pseudodiaptomus forbesi adult",27,1,68,0.6,68,0.7,797495,801224,"Low",72.6437337742803
"42",42,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Alona",3,1,68,0.6,68,0.7,797495,801224,"Low",8.07152597492003
"43",43,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Alonella",1,1,68,0.6,68,0.7,797495,801224,"Low",2.69050865830668
"45",45,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Bosmina",3,1,68,0.6,68,0.7,797495,801224,"Low",8.07152597492003
"46",46,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Camptocercus",14,1,68,0.6,68,0.7,797495,801224,"Low",37.6671212162935
"47",47,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Ceriodaphnia",8,1,68,0.6,68,0.7,797495,801224,"Low",21.5240692664534
"50",50,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Diaphanosoma",14,1,68,0.6,68,0.7,797495,801224,"Low",37.6671212162935
