Date,Year,Month,DateTime,Time,StationCode,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,FlowMeterSpeed,StartMeter,EndMeter,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,OrganismID,Classification,Organism,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,CommonName,LifeStage,Count,CPUEZoop,WYType,FlowPulseType,NetFlowDays,SamplePeriod
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,64,Calanoids,Calanoid copepodids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,Calanoid,copepodid,230,214.1472916,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,23,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,Pseudodiaptomus forbesi,adult,3,2.793225543,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,28,Calanoids,Sinocalanus doerrii copepodid,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Species,Sinocalanus doerrii,copepodid,3,2.793225543,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,43,Cladocera,Alona,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Alona,NA,Alona sp.,Genus,Alona sp.,NA,2,1.862150362,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,35,Cladocera,Bosmina,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Bosminidae,Bosmina,longirostris,Bosmina longirostris,Species,Bosmina longirostris,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,39,Cladocera,Camptocercus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Eurycercidae,Camptocercus,NA,Camptocercus sp.,Genus,Camptocercus sp.,NA,5,4.655375904,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,38,Cladocera,Chydorus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Chydorus,NA,Chydorus sp.,Genus,Chydorus sp.,NA,7,6.517526266,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,41,Cladocera,Diaphanosoma,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Diaphanosoma,NA,Diaphanosoma sp.,Genus,Diaphanosoma sp.,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,93,Cladocera,Eurycercus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Eurycercus,NA,Eurycercus sp.,Genus,Eurycercus sp.,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,44,Cladocera,Ilyocryptus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Ilyocryptidae,Ilyocryptus,NA,Ilyocryptus sp.,Genus,Ilyocryptus sp.,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,88,Cladocera,Picripleuroxus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Picripleuroxus,NA,Picripleuroxus sp.,Genus,Picripleuroxus sp.,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,8,Cyclopoids,Cyclopoid copepodid,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,Cyclopoid,copepodid,5,4.655375904,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,84,Cyclopoids,Microcyclops rubellus,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Microcyclops,rubellus,Microcyclops rubellus,Species,Microcyclops rubellus,NA,1,0.931075181,W,MA-Ag,26,Before
