MethodCode,SampleDate,SampleTime,StationCode,Depth_m,Volume-Received_mL,Volume_Analyzed_mL,Percent_of_Sample_Counted,Field-of-view_mm²,Slide_Chamber_Area_mm²,Area_Counted,Number_of_Fields_Counted,Factor,BSA_TIN,Taxon,Diatom_SoftBody,Genus,Species,Synonym,Unit_Abundance,Number_of_cells_per_unit,GALD1,GALD2,GALD3,Colony_Filament_Individual_Group_Code,BSA#,Taxonomist,Comments,Shape,Biovolume1,Biovolume2,Biovolume3,Biovolume4,Biovolume5,Biovolume6,Biovolume7,Biovolume8,Biovolume9,Biovolume10,Dimension,Measurement_average,Measurement1,Measurement2,Measurement3,Measurement4,Measurement5,Measurement6,Measurement7,Measurement8,Measurement9,Measurement10,Measurement11,Measurement12,Measurement13,Measurement14,Measurement15,Measurement16,Measurement17,Measurement18,Measurement19,Measurement20,Measurement21,Measurement22,Measurement23,Measurement24,Measurement25
Phyto,7/13/2020,8:55,BL5,,55.0,1,1.82%,0.0683,314.159,2.732,40,114.99,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,29.6,,,i,BSA.YOLO-30,LA,,elliptic prism,1335.49,,,,,,,,,,Length,21.8,29.6,14.0,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:55,BL5,,55.0,1,1.82%,0.0683,314.159,2.732,40,114.99,1971,Encyonema evergladianum,Diatom,Encyonema,evergladianum,,1,1,22.2,,,i,BSA.YOLO-30,LA,,cymbelloid,118.41,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:55,BL5,,55.0,1,1.82%,0.0683,314.159,2.732,40,114.99,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,29.6,,,i,BSA.YOLO-30,LA,,elliptic prism,1230.27,,,,,,,,,,Length,29.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:55,BL5,,55.0,1,1.82%,0.0683,314.159,2.732,40,114.99,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,790,0.8,0.8,0.8,c,BSA.YOLO-30,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/13/2020,8:55,BL5,,55.0,1,1.82%,0.0683,314.159,2.732,40,114.99,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,3,6,,,f,BSA.YOLO-30,LA,,cylinder,10.18,,,,,,,,,,Length,4.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,144,Cocconeis pediculus,Diatom,Cocconeis,pediculus,,1,1,22.2,,,i,BSA.YOLO-23,LA,,elliptic prism,2903.06,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,9,9,28,,,i,BSA.YOLO-23,LA,,elliptic prism,1528.77,,,,,,,,,,Length,22.2,24.1,28.0,19.5,20.4,19.0,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,6,,,i,BSA.YOLO-23,LA,,cylinder,113.10,,,,,,,,,,Length,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,1735,Rhoicosphenia sp.,Diatom,Rhoicosphenia,sp.,,1,1,14,,,i,BSA.YOLO-23,LA,,gomphonemoid,1585.92,,,,,,,,,,Width,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,4,,,i,BSA.YOLO-23,LA,,sphere,33.51,,,,,,,,,,Length,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,8:27,LIB,,51.0,2,3.92%,0.0683,314.159,2.8003,41,56.09,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,778,0.8,0.8,0.8,c,BSA.YOLO-23,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,11.1,,,i,BSA.YOLO-37,CT,High sediment and detritus.,cylinder,266.65,,,,,,,,,,Length,6.2,9.3,3.7,5.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,1,22.2,,,i,BSA.YOLO-37,CT,High sediment and detritus.,elliptic prism,136.70,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,20.4,,,i,BSA.YOLO-37,CT,High sediment and detritus.,cylinder,4249.06,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,12,12,1.9,,,i,BSA.YOLO-37,CT,High sediment and detritus.,sphere,3.59,,,,,,,,,,Length,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,1,1,3.7,,,i,BSA.YOLO-37,CT,High sediment and detritus.,prolate spheroid,26.52,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.YOLO-37,CT,High sediment and detritus.,cone + half sphere,223.52,,,,,,,,,,Length,8.4,7.4,9.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,1423,cf. Chroococcus sp.,Soft Body,Chroococcus,sp.,,12,33,2.8,,,c,BSA.YOLO-37,CT,High sediment and detritus.,sphere,11.49,,,,,,,,,,Length,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:08,RVB,,51.0,2,3.92%,0.0683,314.159,2.1856,32,71.87,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,373,752,0.8,0.8,0.8,c,BSA.YOLO-37,CT,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,46,cf. Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,14.8,,,i,BSA.YOLO-27,LA,,elliptic prism,120.42,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,8,8,22.2,,,i,BSA.YOLO-27,LA,,elliptic prism,876.85,,,,,,,,,,Length,19.0,14.8,22.2,22.2,19.0,16.7,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,7.4,,,i,BSA.YOLO-27,LA,,cylinder,215.04,,,,,,,,,,Length,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,1968,Cymbella hantzschiana,Diatom,Cymbella,hantzschiana,,1,1,27.8,,,i,BSA.YOLO-27,LA,,cymbelloid,964.15,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,4,7.4,,,c,BSA.YOLO-27,LA,,prolate spheroid,14.45,,,,,,,,,,Length,6.9,7.4,6.3,7.4,6.3,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,7:54,RYI,,50.0,2,4.00%,0.0683,314.159,2.049,30,76.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,418,836,0.8,0.8,0.8,c,BSA.YOLO-27,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,15.8,,,i,BSA.YOLO-17,LA,,elliptic prism,447.02,,,,,,,,,,Length,15.3,15.8,14.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,2,2,11.1,,,i,BSA.YOLO-17,LA,,cylinder,480.34,,,,,,,,,,Length,6.5,7.4,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,11.1,,,i,BSA.YOLO-17,LA,,cylinder,987.04,,,,,,,,,,Length,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,199,Cymbella affinis,Diatom,Cymbella,affinis,,1,1,29.6,,,i,BSA.YOLO-17,LA,,cymbelloid,853.41,,,,,,,,,,Length,29.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1951,Cymbella janischii,Diatom,Cymbella,janischii,,1,1,209,,,i,BSA.YOLO-17,LA,,cymbelloid,210752.37,,,,,,,,,,Length,209.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,278,Diatoma vulgaris,Diatom,Diatoma,vulgaris,,2,2,27.8,,,i,BSA.YOLO-17,LA,,elliptic prism,1888.43,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1952,Encyonema montanum,Diatom,Encyonema,montanum,,1,1,16.7,,,i,BSA.YOLO-17,LA,,cymbelloid,304.85,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1948,Fragilariaforma marylandica,Diatom,Fragilariaforma,marylandica,,1,1,24.1,,,i,BSA.YOLO-17,LA,,elliptic prism,383.29,,,,,,,,,,Length,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,425,Gomphoneis sp.,Diatom,Gomphoneis,sp.,,1,1,34.4,,,i,BSA.YOLO-17,LA,,elliptic prism,9662.27,,,,,,,,,,Width,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,11.1,,,i,BSA.YOLO-17,LA,,gomphonemoid,647.34,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1949,Lindavia sp.,Diatom,Lindavia,sp.,,1,1,19.5,,,i,BSA.YOLO-17,LA,,cylinder,3912.28,,,,,,,,,,Length,13.1,13.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,538,Melosira sp.,Diatom,Melosira,sp.,,3,3,27.8,,,i,BSA.YOLO-17,LA,,cylinder,4782.53,,,,,,,,,,Length,27.8,27.8,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,540,Melosira varians,Diatom,Melosira,varians,,3,3,26.9,,,i,BSA.YOLO-17,LA,,cylinder,12250.97,,,,,,,,,,Length,26.2,26.9,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1947,cf. Microcostatus sp.,Diatom,Microcostatus,sp.,,1,1,9.3,,,i,BSA.YOLO-17,LA,,elliptic prism,108.10,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1938,Navicula cf. caroliniae,Diatom,Navicula,caroliniae,,1,1,42.6,,,i,BSA.YOLO-17,LA,,elliptic prism,2509.35,,,,,,,,,,Length,42.6,42.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,702,Nitzschia fonticola,Diatom,Nitzschia,fonticola,,1,1,22.2,,,i,BSA.YOLO-17,LA,,prism on parallelogram,151.96,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,18.5,,,i,BSA.YOLO-17,LA,,prism on parallelogram,126.63,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,816,Pinnularia sp.,Diatom,Pinnularia,sp.,,1,1,113,,,i,BSA.YOLO-17,LA,,box,10934.88,,,,,,,,,,Length,113.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,841,Planothidium lanceolatum,Diatom,Planothidium,lanceolatum,,1,1,14.8,,,i,BSA.YOLO-17,LA,,elliptic prism,313.84,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1950,Pseudostaurosira elliptica,Diatom,Pseudostaurosira,elliptica,,1,1,8.3,,,i,BSA.YOLO-17,LA,,box,89.24,,,,,,,,,,Length,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1735,Rhoicosphenia sp.,Diatom,Rhoicosphenia,sp.,,1,1,22.2,,,i,BSA.YOLO-17,LA,,gomphonemoid,1811.27,,,,,,,,,,Width,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,921,Staurosira sp.,Diatom,Staurosira,sp.,,79,79,18.5,,,i,BSA.YOLO-17,LA,,elliptic prism,204.83,,,,,,,,,,Length,16.3,13.0,13.0,18.5,18.5,18.5,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,29.6,,,i,BSA.YOLO-17,LA,,elliptic prism,1601.54,,,,,,,,,,Length,29.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1237,Scenedesmus subspicatus,Soft Body,Scenedesmus,subspicatus,,1,8,7.4,,,i,BSA.YOLO-17,LA,,prolate spheroid,15.50,,,,,,,,,,Length,7.4,7.4,7.4,7.4,7.4,7.4,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2,,,c,BSA.YOLO-17,LA,,sphere,4.19,,,,,,,,,,Length,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,308,616,0.8,0.8,0.8,c,BSA.YOLO-17,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,3,3.7,,,f,BSA.YOLO-17,LA,,cylinder,9.42,,,,,,,,,,Length,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:17,SHR,,53.0,2,3.77%,0.0683,314.159,2.3905,35,65.71,1953,Raphidiopsis cf. raciborskii,Soft Body,Raphidiopsis,raciborskii,,1,11,5.6,,,f,BSA.YOLO-17,LA,,cylinder,17.59,,,,,,,,,,Length,5.6,5.6,5.6,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:27,STTD,,52.0,1,1.92%,0.0683,314.159,1.0928,16,287.48,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,11.1,,,i,BSA.YOLO-04,CT,,cylinder,531.13,,,,,,,,,,Length,6.5,5.6,7.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/13/2020,9:27,STTD,,52.0,1,1.92%,0.0683,314.159,1.0928,16,287.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,421,844,0.8,0.8,0.8,c,BSA.YOLO-04,CT,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,91,Aulacoseira cf. granulata,Diatom,Aulacoseira,granulata,,4,4,37,,,i,BSA.YOLO-29,LA,,cylinder,351.59,,,,,,,,,,Length,32.7,33.3,31.5,29.0,37.0,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,11,11,18.5,,,i,BSA.YOLO-29,LA,,cylinder,1561.45,,,,,,,,,,Length,10.0,8.7,7.4,12.4,8.7,13.0,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,24.8,,,i,BSA.YOLO-29,LA,,cylinder,1441.14,,,,,,,,,,Length,9.1,11.1,4.2,15.0,11.1,4.2,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,59.3,,,i,BSA.YOLO-29,LA,,prism on parallelogram,405.91,,,,,,,,,,Length,59.3,59.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,702,Nitzschia fonticola,Diatom,Nitzschia,fonticola,,1,1,40.7,,,i,BSA.YOLO-29,LA,,prism on parallelogram,325.60,,,,,,,,,,Length,40.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,2,2,85.2,,,i,BSA.YOLO-29,LA,,prism on parallelogram,839.42,,,,,,,,,,Length,76.0,85.2,66.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,720,Nitzschia linearis,Diatom,Nitzschia,linearis,,1,1,87,,,i,BSA.YOLO-29,LA,,prism on parallelogram,1364.16,,,,,,,,,,Length,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
