LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Ammonia,7664417,0.105,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Calcium,7440702,10.8,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Chloride,16887006,23.3,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Chlorophyll a,479618,1.51,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Nitrate + Nitrite,0,0.103,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Organic Carbon,7440440,2.6,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Total Organic Carbon,7440440,2.4,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Organic Nitrogen,7727379,0.18,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved ortho-Phosphate,14265442,0.059,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Pheophytin a,0,0.61,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Total Phosphorus,7723140,0.067,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River at Rio Vista Bridge,RVB - Rio Vista,B9D80960412,ES0821B0127,08/03/2021 07:13,Dissolved Silica (SiO2),7631869,13.7,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
