LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Calcium,7440702,10.1,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Chloride,16887006,3.89,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Chloride,16887006,3.89,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Chlorophyll a,479618,0.71,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Organic Carbon,7440440,1.4,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Organic Carbon,7440440,1.3,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Organic Nitrogen,7727379,0.1,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved ortho-Phosphate,14265442,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved ortho-Phosphate,14265442,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Pheophytin a,0,0.56,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Phosphorus,7723140,0.019,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Dissolved Silica (SiO2),7631869,15.8,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Dissolved Solids,0,82,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Suspended Solids,0,5.6,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Suspended Solids,0,5.6,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Total Kjeldahl Nitrogen,0,0.1,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Field Specific Conductance,0, 138,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0128,08/03/2021 08:50,Field Water Temperature,0, 23.6,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Calcium,7440702,12,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Chloride,16887006,4.76,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Chloride,16887006,4.73,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Chlorophyll a,479618,0.72,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Organic Carbon,7440440,1.5,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Organic Carbon,7440440,1.4,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Organic Nitrogen,7727379,<0.1,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved ortho-Phosphate,14265442,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Pheophytin a,0,0.72,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Phosphorus,7723140,0.031,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Dissolved Silica (SiO2),7631869,19.7,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Dissolved Solids,0,91,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Dissolved Solids,0,92,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Suspended Solids,0,6.1,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Total Kjeldahl Nitrogen,0,0.112,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Field Specific Conductance,0, 148,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0146,08/17/2021 07:55,Field Water Temperature,0, 23.4,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Calcium,7440702,14,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Chloride,16887006,7.12,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Chlorophyll a,479618,0.67,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Organic Carbon,7440440,2.2,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Total Organic Carbon,7440440,2.3,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved Organic Nitrogen,7727379,0.11,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Sacramento River @ Sherwood Harbor,SHER,A0200000,ES0821B0164,08/31/2021 08:06,Dissolved ortho-Phosphate,14265442,<0.05,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
