"project","station","date","time","net_size","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml"
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",3,1,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",2,1,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",4,1,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",2,1,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Synchaeta",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Testudinella",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichocerca",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichotria",0,0,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Copepod nauplii",15,1,107,0.11,107,0.11,52
"NDFS","I80",2021-08-02,"08:50","150um",TRUE,FALSE,TRUE,FALSE,FALSE,67,NA,"BSA","wilovert","100x",2022-01-10,"1",NA,"MICROZOOPLANKTON & NAUPLII","Ostracods",6,1,107,0.11,107,0.11,52
