"project","station","date","time","net_size","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml"
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",3,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",2,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",23,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",2,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",18,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",10,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",7,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Synchaeta",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Testudinella",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichocerca",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichotria",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Copepod nauplii",380,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Ostracods",4,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"MICROZOOPLANKTON & NAUPLII","Collotheca",1,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Cyclopoid adult",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Cyclopoid copepodid",21,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Diacyclops thomasi",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Ectocyclops phaleratus",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Ergasilus spp.",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Eucyclops pectinifer",2,1,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Limnoithona copepodid",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Limnoithona sinensis",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Limnoithona spp.",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Limnoithona tetraspina",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Macrocyclops albidus",0,0,40,1.8,40,8,1
"NDFS","RD22_QC",2021-09-13,"07:25","150um",FALSE,TRUE,TRUE,TRUE,TRUE,98,NA,"BSA","wilovert","100x",2022-01-12,"1",NA,"CYCLOPOIDS","Mesocyclops edax",0,0,40,1.8,40,8,1
