"project","station","date","time","net_size","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml"
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",1,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",12,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",1,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",5,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",2,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",6,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",2,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",6,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",0,0,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",2,1,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",0,0,46,1,46,0.4,9
"NDFS","STTD",2021-08-03,"10:55","50um",TRUE,TRUE,TRUE,TRUE,TRUE,131,NA,"BSA","wilovert","100x",2022-01-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",1,1,46,1,46,0.4,9
