LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Calcium,7440702,31.3,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Calcium,7440702,31.3,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Chloride,16887006,101,10,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Chlorophyll a,479618,30.6,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Organic Carbon,7440440,4.4,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Total Organic Carbon,7440440,4.4,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved Organic Nitrogen,7727379,0.48,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Dissolved ortho-Phosphate,14265442,1.89,0.50,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Pheophytin a,0,6.34,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Toe Drain at County Road 22,Toe Drain at Rd. 22,A0D84061386,ES0821B0118,08/02/2021 11:07,Total Phosphorus,7723140,1.92,0.05,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
