LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Calcium,7440702,12.8,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Chloride,16887006,21.9,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Chlorophyll a,479618,1.49,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Organic Carbon,7440440,3.4,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Total Organic Carbon,7440440,3.3,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Organic Nitrogen,7727379,0.26,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved ortho-Phosphate,14265442,0.122,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Pheophytin a,0,<0.5,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Total Phosphorus,7723140,0.135,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Toe Drain at Rotary Screw Trap,Toe Drain at STTD,A0D82120386,ES0821B0122,08/03/2021 10:55,Dissolved Silica (SiO2),7631869,11.8,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
