"project","station","date","time","net_size","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml"
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",2,1,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",267,1,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",1,1,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",0,0,73,0.4,73,3.4,13
"NDFS","PRS",2021-08-31,"10:01","150um",FALSE,FALSE,TRUE,TRUE,TRUE,92,NA,"BSA","wilovert","100x",2022-01-27,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",0,0,73,0.4,73,3.4,13
