Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFS,RMB,,ES0821B0116,08/02/2021,8:13,,,,FIELD,pfarman,TRUE,cpien,"cpien, jadams",2,CLR,0.08,24.5,2.91,1492,1477,8.42,Flood,1,1,240.5,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"double checked tide later, samples taken at less than a meter, too shallow","changed 150_zoop to FALSE, no tow taked due to it being too shallow (condition code 4)",ldixit,ehubbard
,,NDFS,WWT,,ES0821B0117,08/02/2021,10:10,,,,FIELD,pfarman,TRUE,jadams,"cpien, jadams",2,CLR,NA,23.7,1.74,964,939,7.41,NA,1,2,9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Secchi greater than 0.56m, hit the bottom, no shade possible due to veg, samples taken at less than a meter, too shallow, lot of sav (Datasheet says phyto/chla taken but it was not -LD)",,ldixit,ehubbard
,,NDFS,RD22,,ES0821B0118,08/02/2021,11:07,,,,FIELD,cpien,TRUE,pfarman,"jadams, pfarman",2,CLR,0.36,24.3,6.73,888,877,8.06,Flood,1,2,17.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Snagged something towards the end of tow but released,,ldixit,ehubbard
,,NDFS,DWT,,ES0821B0119,08/02/2021,8:15,,,,FIELD,ldixit,TRUE,mbedwell,"ldixit, mbedwell, jrobinson",1,CLR,0.12,23.4,2.78,1087,1055,7.59,NA,1,2,63.2,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,ldixit,ehubbard
,,NDFS,I80,,ES0821B0120,08/02/2021,8:50,,,,FIELD,mbedwell,TRUE,jrobinson,"ldixit, mbedwell, jrobinson",1,CLR,0.91,22.2,1.04,1068,1010,7.28,NA,1,3,5.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,lots of duckweed. Couldn’t paddle far to get enough revs. Had to turn and head downstream during tow. Went through duckweed and coontail patch.,,ldixit,ehubbard
,,Shared,LIS,,ES0821B0121,08/02/2021,10:16,,,,FIELD,jrobinson,TRUE,ldixit,"ldixit, mbedwell, jrobinson",1,CLR,0.38,23.2,7.79,310,299,7.99,Low,3,1,17,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,Shared,STTD,,ES0821B0122,08/03/2021,10:55,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,1,22.6,7.63,251,239,8.35,Flood,2,1,10,2020,0.06,0.41,0.85,2.19,1517,1012,506,58.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"WQ taken by USFWS, LA/Drift/Zoop taken by DWR",,ldixit,pfarman
,,NDFS,BL5,,ES0821B0123,08/03/2021,9:31,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,0.65,20.7,7.76,239,219,8.53,slack,2,1,7.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,tow 1 (DWR) pre/reset and around veg,,ldixit,ehubbard
,,NDFS,PRS,,ES0821B0124,08/03/2021,10:17,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,1,20.7,8.09,229,210,8.55,slack,2,1,5.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,LIB,,ES0821B0125,08/03/2021,9:21,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,1.1,21.4,8.06,212,197,7.9,slack,2,1,3.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RYI,,ES0821B0126,08/03/2021,8:28,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,0.8,21.7,8.29,210,197,8.09,ls,2,1,5.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RVB,,ES0821B0127,08/03/2021,7:13,,,,FIELD,mgilbert,TRUE,gbigham,"mgilbert, gbigham, dbridgerman",1,CLR,0.95,22.4,8.24,113,107,7.74,Ebb,2,1,7.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"shimofuri gobi (~25mm) released, close to shore due to wind",,ldixit,ehubbard
,,Shared,SHR,,ES0821B0133,08/03/2021,8:50,,,,FIELD,ldixit,TRUE,nikemiyagi,"ldixit, jrobinson, nikemiyagi",3,CLR,2,23.6,8.13,138,134,7.78,Ebb,1,1,5.6,1978.8,0.04,0.49,1.57,2.19,1486,983,494.8,311.8,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ldixit,pfarman
,,NDFS,RMB,,ES0821B0134,08/16/2021,10:21,,,,FIELD,jrobinson,TRUE,pfarman,"pfarman, abrady",2,CLR,0.47,26.9,1.42,787,816,7.39,Flood,1,2,11.5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Hazy,,ldixit,ehubbard
,,NDFS,WWT,,ES0821B0135,08/16/2021,9:00,,,,FIELD,pfarman,TRUE,abrady,"abrady, jrobinson",2,CLD,NA,24.6,1.36,910,903,7.2,Flood,1,2,8.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Hazy, secchi hit bottom",,ldixit,ehubbard
,,NDFS,RD22,,ES0821B0136,08/16/2021,7:37,,,,FIELD,pfarman,TRUE,abrady,"abrady, jrobinson",2,CLD,0.39,23.2,4.87,888,858,7.66,Ebb,1,2,17.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Hazy,,ldixit,ehubbard
,,NDFS,DWT,,ES0821B0137,08/16/2021,8:29,,,,FIELD,ehubbard,TRUE,jadams,"jadams, ldixit",1,CLR,0.17,23.8,2.07,1051,1026,7.46,Flood,1,2,35.7,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,only dipped 0.5 m because of depth,,ldixit,ehubbard
,,NDFS,I80,,ES0821B0138,08/16/2021,9:33,,,,FIELD,ldixit,TRUE,jadams,"ldixit, jadams, ehubbard",1,CLR,0.68,22.5,0.61,987,939,7.23,Flood,1,2,11.6,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"too much veg (condition code 4), couldn't do zoop150",,ldixit,ehubbard
