LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Calcium,7440702,11,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Calcium,7440702,11,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Chloride,16887006,18.3,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Chlorophyll a,479618,1.32,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Nitrate + Nitrite,0,0.065,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Total Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Organic Nitrogen,7727379,0.14,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved ortho-Phosphate,14265442,0.068,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Pheophytin a,0,<0.5,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Total Phosphorus,7723140,0.07,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Silica (SiO2),7631869,13,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Dissolved Silica (SiO2),7631869,12.9,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Total Dissolved Solids,0,120,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Total Suspended Solids,0,5.7,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Total Kjeldahl Nitrogen,0,0.203,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Field Specific Conductance,0, 210,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0126,08/03/2021 08:28,Field Water Temperature,0, 21.7,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Dissolved Calcium,7440702,11.9,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Matrix Spike
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Dissolved Chloride,16887006,16.3,2.50,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Chlorophyll a,479618,1.2,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Dissolved Nitrate + Nitrite,0,0.056,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Dissolved Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Cache Slough at Ryer Island,RYI - Cache Slough,B9D81281402,ES0821B0144,08/17/2021 08:37,Total Organic Carbon,7440440,1.9,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
