LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved Nitrate + Nitrite,0,1.43,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved Nitrate + Nitrite,0,1.44,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved ortho-Phosphate,14265442,2.89,0.25,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Dissolved ortho-Phosphate,14265442,2.94,0.25,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Total Phosphorus,7723140,2.64,0.20,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Field Specific Conductance,0, 964,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0117,08/02/2021 10:10,Field Water Temperature,0, 23.7,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Woodland Wastewater Discharge at Toe Drain,Woodland Wasetwater,A1030000,ES0821B0135,08/16/2021 09:00,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
